clc,lu,desc0,nbs_code,hazard,landscape_case
41,512,Water bodies,EF-1,Drought,Coastal
41,512,Water bodies,EF-4,Other,Coastal
41,512,Water bodies,EF-3,Flood,Coastal
41,512,Water bodies,EF-3,Drought,Coastal
41,512,Water bodies,CA-1,Flood,Coastal
42,521,Coastal lagoons,ES-12,Erosion,Coastal
42,521,Coastal lagoons,ES-12,Other,Coastal
42,521,Coastal lagoons,ES-13,Heat,Coastal
42,521,Coastal lagoons,ES-13,Sea level rise,Coastal
42,521,Coastal lagoons,ES-13,Drought,Coastal
42,521,Coastal lagoons,ES-13,Other,Coastal
42,521,Coastal lagoons,ES-15,Other,Coastal
43,522,Estuaries,ES-21,Sea level rise,Coastal
43,522,Estuaries,ES-21,Flood,Coastal
43,522,Estuaries,ES-21,Erosion,Coastal
43,522,Estuaries,CA-1,Flood,Coastal
44,523,Sea and ocean,CA-1,Flood,Coastal
44,523,Sea and ocean,FRI-5,Drought,Coastal
44,523,Sea and ocean,FRI-5,Flood,Coastal
44,523,Sea and ocean,FRI-5,Other,Coastal
44,523,Sea and ocean,FRI-5,Erosion,Coastal
44,523,Sea and ocean,FRI-5,Sea level rise,Coastal
